"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.457469840E-1,-1.430160165E0,1.834995866E0,1.079581738E1,1.104365160E1
5.483060990E-1,-1.407577872E0,1.824377656E0,1.084412289E1,1.108623608E1
5.508651610E-1,-1.382752419E0,1.822433591E0,1.089123154E1,1.112889001E1
5.534241720E-1,-1.363161206E0,1.821087599E0,1.092562866E1,1.115992519E1
5.559829740E-1,-1.337438345E0,1.828565121E0,1.095957661E1,1.119127835E1
5.585418800E-1,-1.314706445E0,1.835294962E0,1.098455143E1,1.121414869E1
5.611011510E-1,-1.290030479E0,1.836341858E0,1.099935722E1,1.122596051E1
5.636601090E-1,-1.263410330E0,1.847109556E0,1.100533867E1,1.123056092E1
5.662189630E-1,-1.235294700E0,1.858924150E0,1.100354481E1,1.122762443E1
5.687779740E-1,-1.205683470E0,1.869542241E0,1.098754215E1,1.121048364E1
5.713368800E-1,-1.184297681E0,1.871785522E0,1.095479107E1,1.117647482E1
5.738959430E-1,-1.154536963E0,1.880160451E0,1.091575813E1,1.113650459E1
5.764551610E-1,-1.123579741E0,1.889881253E0,1.086715317E1,1.108733965E1
5.790141720E-1,-1.096361399E0,1.893769622E0,1.081047344E1,1.102971930E1
5.815726610E-1,-1.072433233E0,1.902144432E0,1.074676514E1,1.096636801E1
5.841308900E-1,-1.053888798E0,1.907079697E0,1.067423248E1,1.089435054E1
5.866892240E-1,-1.037438154E0,1.916501403E0,1.059407234E1,1.081589683E1
5.892478180E-1,-1.029811025E0,1.922483444E0,1.050284672E1,1.072689342E1
5.918063590E-1,-1.016949654E0,1.933998942E0,1.041969585E1,1.064634210E1
5.943646400E-1,-1.005583763E0,1.949103594E0,9.833005905E0,1.007463194E1
5.969229740E-1,-9.955637455E-1,1.967049718E0,9.809824944E0,1.005450631E1
5.994815680E-1,-9.841978550E-1,1.987837434E0,9.770493507E0,1.001911605E1
6.020404740E-1,-9.765707254E-1,2.008475542E0,9.724281311E0,9.977440123E0
6.045995360E-1,-9.626624584E-1,2.026571274E0,9.674331665E0,9.931082685E0
6.071589630E-1,-9.501001239E-1,2.033301115E0,9.611819267E0,9.870363382E0
6.097182340E-1,-9.281160831E-1,2.045265198E0,9.558578491E0,9.818906862E0
6.122770880E-1,-9.014959335E-1,2.058425665E0,9.500103951E0,9.762263375E0
6.148358380E-1,-8.709874153E-1,2.067548275E0,9.439536095E0,9.702485075E0
6.173946400E-1,-8.344969153E-1,2.075773716E0,9.379565239E0,9.642689754E0
6.199535470E-1,-7.953144312E-1,2.085345030E0,9.327073097E0,9.590384846E0
6.225125570E-1,-7.537391186E-1,2.093869448E0,9.274131775E0,9.537396505E0
6.250717240E-1,-7.169494629E-1,2.099402666E0,9.213862419E0,9.477170926E0
6.276310470E-1,-6.714858413E-1,2.110320091E0,9.160024643E0,9.423926760E0
6.301902130E-1,-6.242275834E-1,2.127219439E0,9.113064766E0,9.378841722E0
6.327488590E-1,-5.780162215E-1,2.142174482E0,9.074630737E0,9.341945048E0
6.353075050E-1,-5.350949764E-1,2.157727718E0,9.038588524E0,9.307964227E0
6.378664630E-1,-4.998008311E-1,2.173879385E0,9.007183075E0,9.279272568E0
6.404254740E-1,-4.688436985E-1,2.190629244E0,8.977571487E0,9.252862298E0
6.429845880E-1,-4.534398913E-1,2.205434799E0,8.942276955E0,9.221380999E0
6.455435990E-1,-4.407280087E-1,2.229512453E0,8.917601585E0,9.202640110E0
6.481027130E-1,-4.320540428E-1,2.245813608E0,8.898608208E0,9.187795029E0
6.506615680E-1,-4.314558208E-1,2.257927179E0,8.879764557E0,9.172491911E0
6.532201610E-1,-4.402793646E-1,2.259123564E0,8.865707397E0,9.159598946E0
6.557790680E-1,-4.576273263E-1,2.260170460E0,8.853592873E0,9.148983552E0
6.583380780E-1,-4.797609448E-1,2.266003132E0,8.845517159E0,9.143747293E0
6.608970360E-1,-5.108676553E-1,2.266750813E0,8.831459999E0,9.132022269E0
6.634559950E-1,-5.340480804E-1,2.275873423E0,8.832655907E0,9.136772819E0
6.660146930E-1,-5.543870926E-1,2.286491632E0,8.838638306E0,9.146415480E0
6.685732860E-1,-5.768198371E-1,2.293520451E0,8.841629028E0,9.152451096E0
6.711320360E-1,-6.106184125E-1,2.295016050E0,8.846714020E0,9.159929174E0
6.736909430E-1,-6.568298340E-1,2.296361923E0,8.848957062E0,9.165628434E0
6.762498490E-1,-7.187440991E-1,2.297708035E0,8.848658562E0,9.170322439E0
6.788089630E-1,-7.989036441E-1,2.292025089E0,8.839086533E0,9.166301150E0
6.813682340E-1,-8.772686124E-1,2.298007011E0,8.839236259E0,9.175104037E0
6.839270880E-1,-9.575777054E-1,2.313111782E0,8.837292671E0,9.185052147E0
6.864854220E-1,-1.032503009E0,2.333450794E0,8.833254814E0,9.194424707E0
6.890439110E-1,-1.100399256E0,2.363510609E0,8.825029373E0,9.202076089E0
6.916027650E-1,-1.159621716E0,2.399402857E0,8.813214302E0,9.207312470E0
6.941617760E-1,-1.201795220E0,2.440529585E0,8.807681084E0,9.218228815E0
6.967209950E-1,-1.235892892E0,2.479263306E0,8.796015739E0,9.221934215E0
6.992802650E-1,-1.242772222E0,2.526521683E0,8.792127609E0,9.231971756E0
7.018394320E-1,-1.229611754E0,2.568096876E0,8.793622971E0,9.243098592E0
7.043985470E-1,-1.196261764E0,2.604437828E0,8.794969559E0,9.250169087E0
