"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.808856320E-1,1.366899908E-1,6.954140961E-2,9.839137077E0,9.840332240E0
7.834447990E-1,1.408774406E-1,6.669992954E-2,9.834650993E0,9.835886106E0
7.860043300E-1,1.399801224E-1,5.982056633E-2,9.826425552E0,9.827604595E0
7.885639660E-1,1.405783296E-1,6.236293912E-2,9.827771187E0,9.828974408E0
7.911238090E-1,1.413260847E-1,6.714858860E-2,9.828968048E0,9.830213369E0
7.936839140E-1,1.396810263E-1,6.894320250E-2,9.827920914E0,9.829155276E0
7.962442780E-1,1.384846121E-1,7.073781639E-2,9.824630737E0,9.825861334E0
7.988045390E-1,1.374377459E-1,7.253243774E-2,9.824331284E0,9.825560302E0
8.013644340E-1,1.366899908E-1,7.163512707E-2,9.824181557E0,9.825393580E0
8.039244340E-1,1.314556897E-1,6.176473573E-2,9.817152977E0,9.818227338E0
8.064844340E-1,1.356431395E-1,5.922235921E-2,9.819695473E0,9.820810839E0
8.090444870E-1,1.345962733E-1,5.967101455E-2,9.817152977E0,9.818256941E0
8.116046950E-1,1.314556897E-1,5.772684515E-2,9.815059662E0,9.816109675E0
8.141650070E-1,1.287637651E-1,5.847460404E-2,9.818200111E0,9.819218544E0
8.167252680E-1,1.265204996E-1,6.176473573E-2,9.821190834E0,9.822199943E0
8.192852160E-1,1.247258782E-1,6.221338734E-2,9.823733330E0,9.824722061E0
8.218452160E-1,1.187438220E-1,5.593222752E-2,9.816853523E0,9.817730981E0
8.244055280E-1,1.196411327E-1,6.131608039E-2,9.817003250E0,9.817923735E0
8.269658930E-1,1.253240854E-1,6.864409894E-2,9.817152977E0,9.818192844E0
8.295261010E-1,1.257727444E-1,7.746763527E-2,9.819994926E0,9.821105863E0
8.320860490E-1,1.286142170E-1,7.821539044E-2,9.824930191E0,9.826083275E0
8.346461010E-1,1.335494071E-1,7.896314561E-2,9.831659317E0,9.832883379E0
8.372062570E-1,1.356431395E-1,7.731807977E-2,9.837791443E0,9.839030319E0
8.397664660E-1,1.307079345E-1,6.909275055E-2,9.836296082E0,9.837407127E0
8.423267780E-1,1.325025558E-1,6.565307081E-2,9.836296082E0,9.837407578E0
8.448872470E-1,1.342971772E-1,6.535396725E-2,9.838987350E0,9.840120881E0
8.474476120E-1,1.359422356E-1,6.266204268E-2,9.841380119E0,9.842518452E0
8.500076640E-1,1.374377459E-1,5.563312769E-2,9.846016884E0,9.847133220E0
8.525676640E-1,1.389332712E-1,5.204389244E-2,9.847810745E0,9.848928241E0
8.551280280E-1,1.380359530E-1,5.144568533E-2,9.851848602E0,9.852949886E0
8.576885490E-1,1.302592754E-1,4.636093974E-2,9.848558426E0,9.849528917E0
8.602489140E-1,1.345962733E-1,4.576273263E-2,9.851998329E0,9.853023976E0
8.628095910E-1,1.360917836E-1,5.024927482E-2,9.854990005E0,9.856057730E0
8.653706320E-1,1.350449324E-1,5.428716540E-2,9.848259926E0,9.849335399E0
